date;true_points;R_09;R1;R11
27/09/2020;3973;3973;3973;3973
04/10/2020;4959;4959;4959;4959
11/10/2020;7737;7737;7737;7737
18/10/2020;11539;11539;11539;11539
25/10/2020;15256;15256;15256;15256
01/11/2020;16327;16327;16327;16327
08/11/2020;14027;14027;14027;14027
15/11/2020;10234;10234;10234;10234
22/11/2020;7763;7763;7763;7763
29/11/2020;7298;7298;7298;7298
06/12/2020;6982;6982;6982;6982
13/12/2020;6965;6965;6965;6965
20/12/2020;6372;6372;6372;6372
27/12/2020;6717;6717;6717;6717
03/01/2021;7746;7746;7746;7746
10/01/2021;8753;8526;8584;8313
17/01/2021;9696;9338;9321;9318
24/01/2021;9914;9500;9537;9402
31/01/2021;;9495;9839;9779
07/02/2021;;9343;10663;11894
14/02/2021;;9443;12182;15013
21/02/2021;;9919;14353;19933
28/02/2021;;10941;17913;27595
07/03/2021;;12570;23038;
14/03/2021;;15099;29900;
21/03/2021;;18236;;
28/03/2021;;22484;;
04/04/2021;;27737;;