date;real;green_full;blue_full;blue_dashed;red_dot;red_full;red_dashed;red_dot_90;red_full_90;red_dashed_90;vacc_red_dashed;vacc_red_line;vacc_red_dot;vacc_blue_dashed;vacc_blue_line;vacc_gree_line
18/07/2021;206;;;;;;;;;;;;;;;
19/07/2021;215;;;;;;;;;;;;;;;
20/07/2021;224;;;;;;;;;;;;;;;
21/07/2021;237;;;;;;;;;;;;;;;
22/07/2021;248;;;;;;;;;;;;;;;
23/07/2021;280;;;;;;;;;;;;;;;
24/07/2021;291;;;;;;;;;;;;;;;
25/07/2021;318;;;;;;;;;;;;;;;
26/07/2021;333;;;;;;;;;;;;;;;
27/07/2021;368;;;;;;;;;;;;;;;
28/07/2021;385;;;;;;;;;;;;;;;
29/07/2021;402;;;;;;;;;;;;;;;
30/07/2021;435;;;;;;;;;;;;;;;
31/07/2021;446;;;;;;;;;;;;;;;
01/08/2021;464;;;;;;;;;;;;;;;
02/08/2021;487;;;;;;;;;;;;;;;
03/08/2021;511;;;;;;;;;;;;;;;
04/08/2021;549;;;;;;;;;;;;;;;
05/08/2021;545;;;;;;;;;;;;;;;
06/08/2021;556;;;;;;;;;;;;;;;
07/08/2021;575;;;;;;;;;;;;;;;
08/08/2021;576;;;;;;;;;;;;;;;
09/08/2021;604;;;;;;;;;;;;;;;
10/08/2021;625;;;;;;;;;;;;;;;
11/08/2021;633;;;;;;;;;;;;;;;
12/08/2021;625;;;;;;;;;;;;;;;
13/08/2021;626;;;;;;;;;;;;;;;
14/08/2021;626;;;;;;;;;;;;;;;
15/08/2021;626;;;;;;;;;;;;;;;
16/08/2021;623;;;;;;;;;;;;;;;
17/08/2021;618;;;;;;;;;;;;;;;
18/08/2021;619;;;;;;;;;;;;;;;
19/08/2021;619;;;;;;;;;;;;;;;
20/08/2021;618;;;;;;;;;;;;;;;
21/08/2021;619;;;;;;;;;;;;;;;
22/08/2021;611;;;;;;;;;;;;;;;
23/08/2021;610;;;;;;;;;;;;;;;
24/08/2021;604;;;;;;;;;;;;;;;
25/08/2021;593;;;;;;;;;;;;;;;
26/08/2021;567;;;;;;;;;;;;;;;
27/08/2021;561;;;;;;;;;;;;;;;
28/08/2021;531;;;;;;;;;;;;;;;
29/08/2021;504;;;;;;;;;;;;;;;
30/08/2021;497;;;;;;;;;;;;;;;
31/08/2021;487;;;;;;;;;;;;;;;
01/09/2021;474;;;;;;;;;;;;;;;
02/09/2021;461;;;;;;;;;;;;;;;
03/09/2021;439;;;;;;;;;;;;;;;
04/09/2021;444;;;;;;;;;;;;;;;
05/09/2021;415;;;;;;;;;;;;;;;
06/09/2021;403;;;;;;;;;;;;;;;
07/09/2021;399;;;;;;;;;;;;;;;
08/09/2021;379;;;;;;;;;;;;;;;
09/09/2021;362;;;;;;;;;;;;;;;
10/09/2021;345;;;;;;;;;;;;;;;
11/09/2021;338;;;;;;;;;;;;;;;
12/09/2021;313;313;313;313;313;313;313;313;313;313;;;;;;
13/09/2021;303;303;303;303;303;303;303;303;303;303;;;;;;
14/09/2021;294;294;294;294;294;294;294;294;294;294;;;;;;
15/09/2021;281;281;281;281;281;281;281;281;281;281;;;;;;
16/09/2021;268;268;268;268;268;268;268;268;268;268;;;;;;
17/09/2021;252;252;252;252;252;252;252;252;252;252;;;;;;
18/09/2021;244;244;244;244;244;244;244;244;244;244;;;;;;
19/09/2021;245;245;245;245;245;245;245;245;245;245;;;;;;
20/09/2021;239;239;239;239;239;239;239;239;239;239;;;;;;
21/09/2021;230;230;230;230;230;230;230;230;230;230;;;;;;
22/09/2021;218;218;218;218;218;218;218;218;218;218;;;;;;
23/09/2021;204;204;204;204;204;204;204;204;204;204;;;;;;
24/09/2021;195;195;195;195;195;195;195;195;195;195;;;;;;
25/09/2021;194;194;194;194;194;194;194;194;194;194;;;;;;
26/09/2021;183;183;183;183;183;183;183;183;183;183;;;;;;
27/09/2021;185;185;185;185;185;185;185;185;185;185;;;;;;
28/09/2021;187;187;187;187;187;187;187;187;187;187;;;;;;
29/09/2021;;;;;;;;;;;;;;;;
30/09/2021;;;;;;;;;;;;;;;;
01/10/2021;;151;151;151;151;151;151;151;151;151;;;;;;136
02/10/2021;;143;143;143;143;143;143;143;143;143;;;;;;128
03/10/2021;;136;136;136;136;136;136;136;136;136;;;;;;127
04/10/2021;;131;131;131;131;131;131;131;131;131;;;;;;116
05/10/2021;;126;126;126;126;126;126;126;126;126;;;;;;113
06/10/2021;;121;121;121;121;121;121;121;121;121;;;;;;106
07/10/2021;;116;116;116;116;116;116;116;116;116;;;;;;104
08/10/2021;;115;115;115;115;115;115;115;115;115;;;;;;96
09/10/2021;;109;109;109;109;109;109;109;109;109;;;;;;88
10/10/2021;;103;103;103;103;103;103;103;103;103;;;;;;89
11/10/2021;;101;101;101;101;101;101;101;101;101;;;;;;85
12/10/2021;;96;96;96;96;96;96;96;96;96;;;;;;74
13/10/2021;;94;94;94;94;94;94;94;94;94;;;;;;72
14/10/2021;;87;87;87;87;87;87;87;87;87;;;;;;72
15/10/2021;;80;80;80;80;80;80;80;80;80;;;;;;72
16/10/2021;;81;77;77;;;;;;;;;;;;71
17/10/2021;;74;74;74;;;;;;;;;;;;63
18/10/2021;;74;74;74;;;;;;;;;;;;64
19/10/2021;;71;71;71;;;;;;;;;;;;64
20/10/2021;;66;71;71;;;;;;;;;;;;64
21/10/2021;;64;66;66;;;;;;;;;;;;64
22/10/2021;;64;64;64;;;;;;;;;;;;63
23/10/2021;;61;64;61;;;;;;;;;;;;58
24/10/2021;;61;64;61;77;77;83;101;101;101;;;;;;59
25/10/2021;;56;61;57;77;77;82;101;101;101;;;;;;46
26/10/2021;;52;58;58;77;77;84;101;101;101;;;;;;48
27/10/2021;;52;58;58;77;77;86;101;101;101;;;;;47;48
28/10/2021;;49;55;58;77;77;89;101;101;101;;;;;56;48
29/10/2021;;45;55;58;80;77;92;100;100;100;72;72;;49;56;48
30/10/2021;;45;55;58;80;80;95;;107;107;72;72;;57;55;49
31/10/2021;;42;51;58;83;83;97;;108;108;73;73;;57;44;45
01/11/2021;;40;51;58;83;83;100;;107;107;70;70;;52;39;40
02/11/2021;;38;51;58;86;86;102;;112;112;84;84;79;48;46;34
03/11/2021;;38;51;58;92;92;108;;116;116;89;89;80;48;48;32
04/11/2021;;39;51;58;97;96;109;102;117;117;88;88;80;48;48;32
05/11/2021;;35;51;58;97;100;110;112;131;131;89;89;80;48;48;32
06/11/2021;;32;52;58;103;105;114;116;129;129;99;99;84;50;48;29
07/11/2021;;32;53;58;103;106;115;115;129;129;106;105;99;57;48;27
08/11/2021;;29;50;56;97;95;115;122;136;136;98;99;91;56;48;29
09/11/2021;;29;48;54;89;99;115;110;124;124;102;95;87;56;48;17
10/11/2021;;29;55;55;107;111;119;118;132;132;104;103;94;56;48;16
11/11/2021;;26;54;55;110;115;122;137;151;151;112;112;100;56;48;16
12/11/2021;;26;55;55;109;116;123;136;150;150;122;120;104;56;48;16
13/11/2021;;26;54;54;106;120;134;140;155;155;127;122;108;56;48;16
14/11/2021;;22;54;54;103;136;146;152;164;164;138;131;111;55;48;16
15/11/2021;;23;53;53;100;137;144;136;182;173;159;147;110;61;48;16
16/11/2021;;22;55;51;99;144;147;123;196;185;161;151;95;65;48;16
17/11/2021;;23;57;58;102;148;156;116;192;196;160;167;98;64;48;16
18/11/2021;;19;61;61;105;149;157;119;208;194;168;168;101;64;48;16
19/11/2021;;16;61;61;108;158;158;123;210;211;170;179;105;66;48;7
20/11/2021;;16;61;61;111;152;169;128;213;213;171;179;110;73;48;8
21/11/2021;;16;61;61;114;155;179;133;208;210;181;170;114;73;48;12
22/11/2021;;13;52;54;117;159;191;137;208;192;195;182;119;65;48;18
23/11/2021;;13;45;48;116;167;204;145;233;207;213;190;123;65;47;9
24/11/2021;;15;53;53;118;169;217;149;244;232;232;200;127;68;56;8
25/11/2021;;13;55;55;121;176;230;154;235;238;250;201;130;72;56;8
26/11/2021;;13;55;55;125;182;240;159;283;237;275;217;134;76;56;8
27/11/2021;;13;54;54;128;189;250;163;311;267;291;222;138;79;57;7
28/11/2021;;13;58;58;131;193;251;165;337;248;303;233;142;81;52;13
29/11/2021;;13;54;65;131;204;263;157;343;238;327;242;148;86;47;11
30/11/2021;;13;51;71;132;205;263;162;333;292;326;263;154;88;55;8
01/12/2021;;13;59;71;134;215;276;169;312;305;352;264;160;96;56;8
02/12/2021;;13;61;71;136;224;293;177;318;305;376;282;166;96;57;8
03/12/2021;;13;61;71;139;226;311;185;364;323;403;289;171;96;65;8
04/12/2021;;13;61;76;141;236;326;192;418;332;429;306;175;96;60;8
05/12/2021;;12;62;80;143;245;334;196;467;345;450;326;176;98;60;8
06/12/2021;;10;53;80;148;252;348;196;496;357;470;334;178;99;65;8
07/12/2021;;6;49;81;148;261;360;201;511;374;476;343;182;100;63;8
08/12/2021;;10;53;82;150;274;363;206;539;384;513;361;188;102;72;8
09/12/2021;;10;58;83;153;279;385;213;539;404;524;388;193;103;72;7
10/12/2021;;10;58;84;156;292;411;219;575;416;555;401;198;104;73;1
11/12/2021;;7;58;85;159;301;434;225;618;433;594;406;203;104;65;9
12/12/2021;;6;58;86;162;307;443;239;660;451;631;427;211;100;59;8
13/12/2021;;8;51;86;168;319;458;244;690;470;669;438;217;96;71;8
14/12/2021;;13;49;87;164;325;473;251;694;481;704;461;224;96;72;8
15/12/2021;;11;59;87;167;336;472;257;726;499;714;483;232;96;72;8
16/12/2021;;6;63;87;170;346;505;262;758;520;742;501;237;105;72;8
17/12/2021;;6;61;89;174;359;546;266;795;543;781;516;242;113;73;8
18/12/2021;;6;58;93;178;368;563;266;839;561;821;530;242;116;68;9
19/12/2021;;6;58;97;182;382;579;272;880;572;856;552;247;120;69;3
20/12/2021;;6;58;93;183;393;596;280;926;598;897;580;253;123;73;0
21/12/2021;;6;58;95;185;403;606;289;948;615;926;600;260;126;72;0
22/12/2021;;8;58;97;189;418;653;296;994;641;972;618;265;129;72;8
23/12/2021;;10;58;96;189;427;674;295;1030;661;1009;638;273;129;72;8
24/12/2021;;6;64;96;192;443;675;305;1046;684;1064;663;278;137;72;5
25/12/2021;;6;61;99;196;454;709;311;1111;716;1121;683;285;136;72;-1
26/12/2021;;6;61;100;200;467;754;317;1183;736;1174;719;292;135;72;0
27/12/2021;;6;61;103;204;481;781;324;1244;761;1207;742;299;143;72;-1
28/12/2021;;7;61;103;207;496;796;330;1264;783;1249;768;304;145;80;8
29/12/2021;;4;61;;210;510;804;340;1288;811;1278;787;;;89;7
30/12/2021;;9;61;;;524;856;;1383;838;1340;815;;;86;-1
31/12/2021;;6;59;;;539;904;;1458;870;1410;843;;;79;0
01/01/2022;;7;61;;;551;910;;1470;894;1461;869;;;84;0