date;reality;
01/01/2021;;
02/01/2021;168;2
03/01/2021;168;3
04/01/2021;170;4
05/01/2021;172;5
06/01/2021;174;6
07/01/2021;175;7
08/01/2021;178;8
09/01/2021;181;9
10/01/2021;184;10
11/01/2021;189;11
12/01/2021;192;12
13/01/2021;198;13
14/01/2021;201;14
15/01/2021;206;15
16/01/2021;212;16
17/01/2021;217;17
18/01/2021;221;18
19/01/2021;227;19
20/01/2021;231;20
21/01/2021;234;21
22/01/2021;237;22
23/01/2021;239;23
24/01/2021;240;24
25/01/2021;242;25
26/01/2021;242;26
27/01/2021;241;27
28/01/2021;239;28
29/01/2021;239;29
30/01/2021;239;30
31/01/2021;239;31
01/02/2021;238;32
02/02/2021;237;33
03/02/2021;237;34
04/02/2021;237;35
05/02/2021;237;36
06/02/2021;237;37
07/02/2021;237;38
08/02/2021;237;39
09/02/2021;238;40
10/02/2021;236;41
11/02/2021;236;42
12/02/2021;236;43
13/02/2021;233;44
14/02/2021;233;45
15/02/2021;233;46
16/02/2021;233;47
17/02/2021;233;48
18/02/2021;234;49
19/02/2021;235;50
20/02/2021;238;51
21/02/2021;241;52
22/02/2021;244;53
23/02/2021;248;54
24/02/2021;252;55
25/02/2021;258;56
26/02/2021;261;57
27/02/2021;264;58
28/02/2021;269;59
01/03/2021;272;60
02/03/2021;274;61
03/03/2021;278;62
04/03/2021;280;63
05/03/2021;281;64
06/03/2021;284;65
07/03/2021;284;66
08/03/2021;287;67
09/03/2021;289;68
10/03/2021;293;69
11/03/2021;299;70
12/03/2021;301;71
13/03/2021;306;72
14/03/2021;311;73
15/03/2021;317;74
16/03/2021;324;75
17/03/2021;332;76
18/03/2021;338;77
19/03/2021;343;78
20/03/2021;350;79
21/03/2021;357;80
22/03/2021;363;81
23/03/2021;368;82
24/03/2021;375;83
25/03/2021;382;84
26/03/2021;388;85
27/03/2021;394;86
28/03/2021;403;87
29/03/2021;410;88
30/03/2021;416;89
31/03/2021;422;90
01/04/2021;428;91
02/04/2021;435;92
03/04/2021;439;93
04/04/2021;443;94
05/04/2021;444;95
06/04/2021;444;96
07/04/2021;442;97
08/04/2021;439;98
09/04/2021;436;99
10/04/2021;433;100
11/04/2021;428;101
12/04/2021;424;102
13/04/2021;420;103
14/04/2021;416;104
15/04/2021;413;105
16/04/2021;409;106
17/04/2021;407;107
18/04/2021;403;108
19/04/2021;399;109
20/04/2021;396;110
21/04/2021;390;111
22/04/2021;383;112
23/04/2021;376;113
24/04/2021;368;114
25/04/2021;358;115
26/04/2021;349;116
27/04/2021;337;117
28/04/2021;325;118
29/04/2021;315;119
30/04/2021;303;120
01/05/2021;287;121
02/05/2021;277;122
03/05/2021;264;123
04/05/2021;252;124
05/05/2021;241;125
06/05/2021;228;126
07/05/2021;218;127
08/05/2021;204;128
09/05/2021;194;129
10/05/2021;187;130
11/05/2021;176;131
12/05/2021;170;132
13/05/2021;162;133
14/05/2021;155;134
15/05/2021;150;135
16/05/2021;145;136
17/05/2021;140;137
18/05/2021;136;138
19/05/2021;133;139
20/05/2021;130;140
21/05/2021;125;141
22/05/2021;121;142
23/05/2021;118;143
24/05/2021;115;144
25/05/2021;111;145
26/05/2021;105;146
27/05/2021;103;147
28/05/2021;99;148
29/05/2021;94;149
30/05/2021;90;150
31/05/2021;87;151
01/06/2021;83;152
02/06/2021;78;153
03/06/2021;75;154
04/06/2021;72;155
05/06/2021;68;156
06/06/2021;62;157
07/06/2021;60;158
08/06/2021;57;159
09/06/2021;53;160
10/06/2021;50;161
11/06/2021;49;162
12/06/2021;46;163
13/06/2021;42;164
14/06/2021;40;165
15/06/2021;38;166
16/06/2021;35;167
17/06/2021;33;168
18/06/2021;31;169
19/06/2021;28;170
20/06/2021;26;171
21/06/2021;24;172
22/06/2021;23;173
23/06/2021;20;174
24/06/2021;20;175
;;
;;
;;
;13;
;13;
;12;
;11;
;11;
;11;
;10;
;10;
;10;
;8;
;9;
;8;
;7;
;8;