date;;reality;projection
01/01/2021;1;168;
02/01/2021;2;169;
03/01/2021;3;172;
04/01/2021;4;172;
05/01/2021;5;175;
06/01/2021;6;176;
07/01/2021;7;179;
08/01/2021;8;181;
09/01/2021;9;183;
10/01/2021;10;188;
11/01/2021;11;191;
12/01/2021;12;196;
13/01/2021;13;199;
14/01/2021;14;205;
15/01/2021;15;209;
16/01/2021;16;214;
17/01/2021;17;220;
18/01/2021;18;224;
19/01/2021;19;229;
20/01/2021;20;235;
21/01/2021;21;238;
22/01/2021;22;241;
23/01/2021;23;243;
24/01/2021;24;244;
25/01/2021;25;244;
26/01/2021;26;244;
27/01/2021;27;244;
28/01/2021;28;244;
29/01/2021;29;244;
30/01/2021;30;242;
31/01/2021;31;241;
01/02/2021;32;241;
02/02/2021;33;241;
03/02/2021;34;241;
04/02/2021;35;241;
05/02/2021;36;241;
06/02/2021;37;241;
07/02/2021;38;241;
08/02/2021;39;241;
09/02/2021;40;241;
10/02/2021;41;241;
11/02/2021;42;241;
12/02/2021;43;238;
13/02/2021;44;238;
14/02/2021;45;238;
15/02/2021;46;236;
16/02/2021;47;237;
17/02/2021;48;238;
18/02/2021;49;238;
19/02/2021;50;239;
20/02/2021;51;242;
21/02/2021;52;244;
22/02/2021;53;248;
23/02/2021;54;253;
24/02/2021;55;256;
25/02/2021;56;262;
26/02/2021;57;265;
27/02/2021;58;268;
28/02/2021;59;271;
01/03/2021;60;275;
02/03/2021;61;279;
03/03/2021;62;280;
04/03/2021;63;283;
05/03/2021;64;284;
06/03/2021;65;286;
07/03/2021;66;288;
08/03/2021;67;292;
09/03/2021;68;293;
10/03/2021;69;296;
11/03/2021;70;302;
12/03/2021;71;305;
13/03/2021;72;311;
14/03/2021;73;317;
15/03/2021;74;322;
16/03/2021;75;330;
17/03/2021;76;337;
18/03/2021;77;343;
19/03/2021;78;349;
20/03/2021;79;356;
21/03/2021;80;362;
22/03/2021;81;369;
23/03/2021;82;374;
24/03/2021;83;383;
25/03/2021;84;388;
26/03/2021;85;395;
27/03/2021;86;403;
28/03/2021;87;408;
29/03/2021;88;417;
30/03/2021;89;424;
31/03/2021;90;430;
01/04/2021;91;435;
02/04/2021;92;442;
03/04/2021;93;446;
04/04/2021;94;449;
05/04/2021;95;450;
06/04/2021;96;449;
07/04/2021;97;446;
08/04/2021;98;443;
09/04/2021;99;440;
10/04/2021;100;437;
11/04/2021;101;433;
12/04/2021;102;428;
13/04/2021;103;425;
14/04/2021;104;420;
15/04/2021;105;418;
16/04/2021;106;414;
17/04/2021;107;410;
18/04/2021;108;406;
19/04/2021;109;402;
20/04/2021;110;396;
21/04/2021;111;388;
22/04/2021;112;382;
23/04/2021;113;373;
24/04/2021;114;366;
25/04/2021;115;355;
26/04/2021;116;347;
27/04/2021;117;338;
28/04/2021;118;330;
29/04/2021;119;321;
30/04/2021;120;;
01/05/2021;121;;303
02/05/2021;;;298
03/05/2021;;;295
04/05/2021;;;295
05/05/2021;;;287
06/05/2021;;;284
07/05/2021;;;283
08/05/2021;;;274
09/05/2021;;;272
10/05/2021;;;268
11/05/2021;;;264
12/05/2021;;;258
13/05/2021;;;253
14/05/2021;;;253
15/05/2021;;;248
16/05/2021;;;
17/05/2021;;;
18/05/2021;;;
19/05/2021;;;
20/05/2021;;;
21/05/2021;;;
22/05/2021;;;
23/05/2021;;;
24/05/2021;;;
25/05/2021;;;
26/05/2021;;;
27/05/2021;;;
28/05/2021;;;
29/05/2021;;;
30/05/2021;;;
31/05/2021;;;
01/06/2021;;;