date;RedVacc;RedR;OrangeR;LightBlueR;DarkBlueR
01/08/2021;541;536;536;536;536
02/08/2021;583;579;579;579;579
03/08/2021;633;629;629;629;629
04/08/2021;683;666;666;666;666
05/08/2021;740;753;709;709;709
06/08/2021;790;802;790;765;734
07/08/2021;853;870;833;796;759
08/08/2021;910;914;883;821;771
09/08/2021;1003;988;932;858;784
10/08/2021;1067;1050;982;883;784
11/08/2021;1138;1130;1031;907;790
12/08/2021;1202;1192;1081;920;784
13/08/2021;1273;1273;1130;945;784
14/08/2021;1337;1341;1180;957;771
15/08/2021;1422;1421;1229;969;759
16/08/2021;1493;1489;1267;982;753
17/08/2021;1571;1570;1316;994;734
18/08/2021;1635;1632;1353;994;722
19/08/2021;1714;1706;1390;1006;709
20/08/2021;1770;1768;1427;1006;685
21/08/2021;1841;1842;1452;1006;672
22/08/2021;1898;1892;1477;994;647
23/08/2021;1955;1954;1508;994;623
24/08/2021;2012;2003;1527;982;610
25/08/2021;2048;2053;1545;969;585
26/08/2021;2090;2090;1551;957;561
27/08/2021;2126;2127;1564;945;536
28/08/2021;2154;2152;1576;932;524
29/08/2021;2183;2177;1576;920;499
30/08/2021;2197;2195;1576;901;474
31/08/2021;2211;2214;1570;883;455
01/09/2021;2218;2220;1564;864;437
02/09/2021;2225;2220;1551;846;412
03/09/2021;2218;2220;1539;821;400
04/09/2021;2211;2208;1520;802;375
05/09/2021;2197;2189;1502;784;363
06/09/2021;2168;2164;1477;759;344
07/09/2021;2140;2139;1452;734;325
08/09/2021;2112;2102;1421;709;313
09/09/2021;2069;2065;1390;691;301
10/09/2021;2026;2028;1359;666;276
11/09/2021;1984;1978;1328;647;264
12/09/2021;1941;1929;1291;623;251
13/09/2021;1884;1886;1260;598;239
14/09/2021;1841;1830;1217;579;226
15/09/2021;1785;1780;1192;561;214
16/09/2021;1735;1725;1155;536;202
17/09/2021;1671;1675;1118;524;189
18/09/2021;1628;1619;1081;499;183
19/09/2021;1571;1570;1044;486;177
20/09/2021;1514;1508;1006;462;165
21/09/2021;1458;1458;982;449;158
22/09/2021;1415;1409;945;437;152
23/09/2021;1358;1347;907;418;140
24/09/2021;1301;1304;883;400;140
25/09/2021;1244;1248;846;387;127
26/09/2021;1202;1198;821;375;127
27/09/2021;1131;1149;784;363;115
28/09/2021;1088;1099;759;350;115
29/09/2021;1045;1050;722;338;103
30/09/2021;1003;1013;697;325;103
01/10/2021;960;;;;