date;real;blue_full_60;blue_dashed_60;orange_full_60;orange_dashed_60;purple_full_60;purple_dashed_60;blue_full_40;blue_dashed_40;orange_full_40;orange_dashed_40;purple_full_40;purple_dashed_40
10/02/2021;;;;;;;;;;;;;
11/02/2021;;;;;;;;;;;;;
12/02/2021;;;;;;;;;;;;;
13/02/2021;;;;;;;;;;;;;
14/02/2021;;;;;;;;;;;;;
15/02/2021;;;;;;;;;;;;;
16/02/2021;;;;;;;;;;;;;
17/02/2021;;;;;;;;;;;;;
18/02/2021;;;;;;;;;;;;;
19/02/2021;;;;;;;;;;;;;
20/02/2021;;;;;;;;;;;;;
21/02/2021;;1132;;;;;;1132;;;;;
22/02/2021;;1147;;;;;;1147;;;;;
23/02/2021;;1156;;;;;;1156;;;;;
24/02/2021;;1164;;;;;;1164;;;;;
25/02/2021;;1167;;;;;;1167;;;;;
26/02/2021;;1167;;;;;;1167;;;;;
27/02/2021;;1176;;;;;;1176;;;;;
28/02/2021;;1190;;;;;;1190;;;;;
01/03/2021;;1202;;;;;;1202;;;;;
02/03/2021;;1193;;;;;;1193;;;;;
03/03/2021;;1194;;;;;;1194;;;;;
04/03/2021;;1206;;;;;;1206;;;;;
05/03/2021;;1226;;;;;;1226;;;;;
06/03/2021;;1225;;;;;;1225;;;;;
07/03/2021;;1228;;;;;;1228;;;;;
08/03/2021;;1243;;;;;;1243;;;;;
09/03/2021;;1249;;;;;;1249;;;;;
10/03/2021;;1252;;;;;;1252;;;;;
11/03/2021;;1261;;;;;;1261;;;;;
12/03/2021;;1285;;;;;;1285;;;;;
13/03/2021;;1308;;;;;;1308;;;;;
14/03/2021;;1327;;;;;;1327;;;;;
15/03/2021;;1359;;;;;;1359;;;;;
16/03/2021;;1402;;;;;;1402;;;;;
17/03/2021;;1446;;;;;;1446;;;;;
18/03/2021;;1466;;;;;;1466;;;;;
19/03/2021;;1499;;;;;;1499;;;;;
20/03/2021;;1502;;;;;;1502;;;;;
21/03/2021;;1518;;;;;;1518;;;;;
22/03/2021;;1550;;;;;;1550;;;;;
23/03/2021;;1584;;;;;;1584;;;;;
24/03/2021;;1625;;;;;;1625;;;;;
25/03/2021;;1645;;;;;;1645;;;;;
26/03/2021;;1664;;;;;;1664;;;;;
27/03/2021;;1704;;;;;;1704;;;;;
28/03/2021;;1706;;;;;;1706;;;;;
29/03/2021;;1737;;;;;;1737;;;;;
30/03/2021;;1753;;;;;;1753;;;;;
31/03/2021;;1785;;;;;;1785;;;;;
01/04/2021;;1800;;;;;;1800;;;;;
02/04/2021;;1814;;;;;;1814;;;;;
03/04/2021;;1828;;;;;;1828;;;;;
04/04/2021;;1829;;;;;;1829;;;;;
05/04/2021;;1836;;;;;;1836;;;;;
06/04/2021;;1828;;;;;;1828;;;;;
07/04/2021;;1824;;;;;;1824;;;;;
08/04/2021;;1803;;;;;;1803;;;;;
09/04/2021;;1786;;;;;;1786;;;;;
10/04/2021;;1771;;;;;;1771;;;;;
11/04/2021;;1745;;;;;;1745;;;;;
12/04/2021;;1722;1704;;;;;1722;1704;;;;
13/04/2021;;1700;1699;;;;;1700;1699;;;;
14/04/2021;;1676;1694;;;;;1676;1694;;;;
15/04/2021;;1663;1681;;;;;1663;1681;;;;
16/04/2021;;1619;1669;;;;;1619;1669;;;;
17/04/2021;;1586;1664;;;;;1586;1664;;;;
18/04/2021;;1574;1645;;;;;1574;1645;;;;
19/04/2021;;1568;1669;;;;;1568;1669;;;;
20/04/2021;;1560;1689;;;;;1560;1689;;;;
21/04/2021;;1536;1666;;;;;1536;1666;;;;
22/04/2021;;1518;1667;;;;;1518;1667;;;;
23/04/2021;;1512;1658;;;;;1512;1658;;;;
24/04/2021;;1494;1649;;;;;1494;1649;;;;
25/04/2021;;1479;1636;;;;;1479;1636;;;;
26/04/2021;;1459;1625;;;;;1459;1625;;;;
27/04/2021;;1446;1625;;;;;1446;1625;;;;
28/04/2021;;1414;1607;;;;;1414;1607;;;;
29/04/2021;;1386;1583;;;;;1386;1583;;;;
30/04/2021;;1344;1561;;;;;1344;1561;;;;
01/05/2021;;1323;1538;;;;;1323;1538;;;;
02/05/2021;;1296;1542;;;;;1296;1542;;;;
03/05/2021;;1278;1523;;;;;1278;1523;;;;
04/05/2021;;1260;1471;;;;;1260;1471;;;;
05/05/2021;;1203;1446;;;;;1204;1446;;;;
06/05/2021;;1185;1438;;;;;1194;1438;;;;
07/05/2021;;1165;1416;;;;;1171;1416;;;;
08/05/2021;;1134;1393;;;;;1144;1393;;;;
09/05/2021;;1088;1373;;;;;1116;1373;;;;
10/05/2021;;1060;1362;;;;;1067;1362;;;;
11/05/2021;;1025;1335;;;;;1037;1335;;;;
12/05/2021;;998;1317;;;;;1010;1317;;;;
13/05/2021;;971;1309;;;;;986;1309;;;;
14/05/2021;;945;1260;;;;;956;1260;;;;
15/05/2021;;915;1211;;;;;926;1211;;;;
16/05/2021;;890;1204;;;;;909;1204;;;;
17/05/2021;;871;1190;;;;;883;1190;;;;
18/05/2021;;850;1168;;;;1172;861;1168;;;;
19/05/2021;;832;1152;;1180;;1155;839;1152;;;;
20/05/2021;;814;1159;;1158;;1156;821;1159;;;;
21/05/2021;;795;1131;;1161;;1143;795;1131;829;;788;
22/05/2021;;786;1102;;1168;;1134;778;1102;819;;781;
23/05/2021;;773;1073;827;1176;763;1124;756;1044;806;;760;
24/05/2021;;764;1044;831;1184;768;1113;727;1030;797;;741;1034
25/05/2021;;757;1045;833;1191;767;1104;704;1015;790;;726;1026
26/05/2021;;746;1029;826;1194;772;1093;687;1003;774;1078;706;1008
27/05/2021;;734;1018;831;1172;771;1091;665;1000;767;1089;697;1003
28/05/2021;;718;1005;839;1182;773;1091;642;948;764;1063;682;997
29/05/2021;;698;1008;848;1200;769;1091;626;874;762;1054;672;974
30/05/2021;;689;991;859;1209;769;1090;603;856;743;1047;663;945
31/05/2021;;679;968;868;1206;773;1086;589;833;735;1046;660;917
01/06/2021;;675;945;879;1228;773;1056;571;809;730;1036;647;895
02/06/2021;;662;927;892;1250;773;1046;557;805;727;1024;635;895
03/06/2021;;657;922;897;1274;773;1075;539;770;719;1012;625;877
04/06/2021;;648;908;917;1293;773;1079;521;728;718;1001;613;853
05/06/2021;;636;895;925;1292;772;1082;503;694;712;994;596;841
06/06/2021;;628;880;935;1309;764;1072;489;683;711;983;586;848
07/06/2021;;621;885;945;1317;765;1072;473;662;699;973;577;847
08/06/2021;;612;864;954;1326;765;1067;457;640;689;962;561;835
09/06/2021;;603;845;963;1336;764;1062;439;625;681;949;548;830
10/06/2021;;593;823;972;1335;757;1058;424;552;672;947;538;766
11/06/2021;;581;801;982;1332;759;1049;411;526;668;927;527;752
12/06/2021;;572;782;994;1331;768;1053;401;514;665;902;517;716
13/06/2021;;563;765;1003;1340;769;1051;382;517;658;877;517;697
14/06/2021;;554;765;1012;1364;765;1047;373;509;651;854;508;694
15/06/2021;;546;756;1022;1385;756;1043;362;495;646;874;495;679
16/06/2021;;537;752;1039;1410;752;1039;349;481;642;874;481;660
17/06/2021;;531;757;1050;1428;757;1035;340;468;638;865;469;641
18/06/2021;;527;760;1063;1439;756;1032;332;460;635;868;460;625
19/06/2021;;521;739;1082;1461;756;1033;322;451;634;863;455;620
20/06/2021;;513;719;1096;1466;756;1033;310;446;628;865;446;609
21/06/2021;;511;699;1109;1486;756;1028;301;436;627;869;440;600
22/06/2021;;505;678;1123;1510;761;1025;295;414;623;858;432;587
23/06/2021;;498;677;1142;1531;765;1027;287;402;623;844;423;581
24/06/2021;;497;668;1155;1547;765;1024;281;395;616;830;415;562
25/06/2021;;488;662;1169;1554;765;1021;272;383;611;818;409;551
26/06/2021;;483;653;1182;1563;765;1018;264;379;610;803;404;539
27/06/2021;;479;;1192;1572;765;1015;262;388;605;806;394;527
28/06/2021;;471;;1204;1585;765;1012;249;389;603;798;390;517
29/06/2021;;464;;1216;;765;1010;245;;595;789;384;506
30/06/2021;;460;;1230;;765;1008;236;;591;784;376;501
01/07/2021;;451;;1240;;761;1004;229;;588;775;370;491