date;reality;projection;
01/01/2021;168;168;168
02/01/2021;169;169;169
03/01/2021;171;172;172
04/01/2021;173;172;172
05/01/2021;174;175;175
06/01/2021;176;176;176
07/01/2021;179;179;179
08/01/2021;181;181;181
09/01/2021;184;183;183
10/01/2021;186;188;188
11/01/2021;191;191;191
12/01/2021;195;196;196
13/01/2021;199;199;199
14/01/2021;203;205;205
15/01/2021;209;209;209
16/01/2021;216;214;214
17/01/2021;219;220;220
18/01/2021;225;224;224
19/01/2021;229;229;229
20/01/2021;233;235;235
21/01/2021;238;238;238
22/01/2021;241;241;241
23/01/2021;242;243;243
24/01/2021;243;244;244
25/01/2021;245;244;244
26/01/2021;244;244;244
27/01/2021;244;244;244
28/01/2021;243;244;244
29/01/2021;242;244;244
30/01/2021;242;242;242
31/01/2021;241;241;241
01/02/2021;240;241;241
02/02/2021;239;241;241
03/02/2021;239;241;241
04/02/2021;240;241;241
05/02/2021;240;241;241
06/02/2021;239;241;241
07/02/2021;241;241;241
08/02/2021;241;241;241
09/02/2021;240;241;241
10/02/2021;239;241;241
11/02/2021;239;241;241
12/02/2021;239;238;238
13/02/2021;237;238;238
14/02/2021;237;238;238
15/02/2021;236;236;236
16/02/2021;236;237;237
17/02/2021;236;238;238
18/02/2021;237;238;238
19/02/2021;239;239;239
20/02/2021;241;242;242
21/02/2021;244;244;244
22/02/2021;248;248;248
23/02/2021;251;253;253
24/02/2021;255;256;256
25/02/2021;259;262;262
26/02/2021;266;265;265
27/02/2021;268;268;268
28/02/2021;271;271;271
01/03/2021;275;275;275
02/03/2021;277;279;279
03/03/2021;281;280;280
04/03/2021;282;283;283
05/03/2021;284;284;284
06/03/2021;286;286;286
07/03/2021;288;288;288
08/03/2021;291;292;292
09/03/2021;292;293;293
10/03/2021;296;296;296
11/03/2021;300;302;302
12/03/2021;305;305;305
13/03/2021;309;311;311
14/03/2021;315;317;317
15/03/2021;321;322;322
16/03/2021;327;330;330
17/03/2021;334;337;337
18/03/2021;341;343;343
19/03/2021;348;349;349
20/03/2021;353;356;356
21/03/2021;360;362;362
22/03/2021;364;369;369
23/03/2021;372;374;374
24/03/2021;378;383;383
25/03/2021;385;388;388
26/03/2021;392;395;395
27/03/2021;399;403;403
28/03/2021;406;408;408
29/03/2021;414;417;417
30/03/2021;420;424;424
31/03/2021;428;430;430
01/04/2021;433;435;435
02/04/2021;438;442;442
03/04/2021;443;446;446
04/04/2021;447;449;449
05/04/2021;447;450;450
06/04/2021;448;449;449
07/04/2021;445;446;446
08/04/2021;443;443;443
09/04/2021;439;440;440
10/04/2021;436;437;437
11/04/2021;431;433;433
12/04/2021;427;428;428
13/04/2021;424;425;425
14/04/2021;420;420;420
15/04/2021;416;418;418
16/04/2021;414;414;414
17/04/2021;410;410;410
18/04/2021;407;406;406
19/04/2021;403;402;402
20/04/2021;400;396;396
21/04/2021;395;388;388
22/04/2021;385;382;382
23/04/2021;380;373;373
24/04/2021;369;366;366
25/04/2021;361;355;355
26/04/2021;349;347;347
27/04/2021;337;338;338
28/04/2021;327;330;330
29/04/2021;314;321;321
30/04/2021;303;312;
01/05/2021;289;303;
02/05/2021;277;298;
03/05/2021;263;295;
04/05/2021;252;295;
05/05/2021;239;287;
06/05/2021;228;284;
07/05/2021;218;283;
08/05/2021;205;274;
09/05/2021;196;272;
10/05/2021;186;268;
11/05/2021;179;264;
12/05/2021;170;258;
13/05/2021;165;253;
14/05/2021;158;253;
15/05/2021;154;248;
16/05/2021;148;;
17/05/2021;145;;
18/05/2021;141;;
19/05/2021;137;;
20/05/2021;135;;
21/05/2021;131;;
22/05/2021;129;;
23/05/2021;126;;
24/05/2021;121;;
25/05/2021;117;;
26/05/2021;113;;
27/05/2021;110;;
28/05/2021;106;;
29/05/2021;;;
30/05/2021;;;
31/05/2021;;;
01/06/2021;;;