date;calibration;Median;Relaxation;Strenghtening
04/10/2020;4996;4996;;
11/10/2020;7641;7641;;
18/10/2020;11521;11521;;
25/10/2020;15283;15283;;
01/11/2020;16282;16282;;
08/11/2020;14048;14048;;
15/11/2020;10228;10228;;
22/11/2020;7877;7877;;
29/11/2020;7289;7289;;
06/12/2020;6877;6877;;
13/12/2020;6936;6936;;
20/12/2020;6407;6407;;
27/12/2020;6760;6760;;
03/01/2021;7759;7759;;
10/01/2021;8582;7972;7875;8166
17/01/2021;9581;8733;9091;9018
24/01/2021;9522;9094;9069;9103
31/01/2021;9699;9132;9152;9048
07/02/2021;;9757;9640;9533
14/02/2021;;10420;10592;10057
21/02/2021;;11650;13268;10495
28/02/2021;;13664;17528;10585
07/03/2021;;17005;23878;11493
14/03/2021;;21400;33771;13040
21/03/2021;;27098;;14567