date,real,lockdown_light_Feb_8,min_lockdown_light_Feb_8,max_lockdown_light_Feb_8
2021-01-06,195.7381755,,,
2021-01-07,192.8292692,,,
2021-01-08,179.3245762,,,
2021-01-09,160.0126106,,,
2021-01-10,151.8538357,,,
2021-01-11,196.7397368,,,
2021-01-12,238.4711084,,,
2021-01-13,212.5895844,,,
2021-01-14,223.2525201,,,
2021-01-15,231.5708878,,,
2021-01-16,197.5546893,225.70697,,250.256696
2021-01-17,193.7334401,216.0575562,,249.8446588
2021-01-18,237.2250942,220.3893161,,260.5953077
2021-01-19,261.4293751,242.4657269,220.5290528,295.4143429
2021-01-20,260.6026107,256.8203752,237.1773061,295.3670204
2021-01-21,256.5133079,282.1501394,238.174037,306.4613876
2021-01-22,253.5347276,278.8310467,231.4229226,309.6259051
2021-01-23,235.9031271,269.7081639,224.9430223,292.1176097
2021-01-24,209.234331,258.3356655,230.6783638,284.0742835
2021-01-25,,264.1082786,238.2207113,295.623159
2021-01-26,,282.8439017,262.6065133,318.269411
2021-01-27,,313.4834338,285.9692357,345.9603892
2021-01-28,,327.5037607,298.4035273,371.824841
2021-01-29,,337.5658873,303.9208623,373.7106227
2021-01-30,,325.1745439,292.6611217,359.630863
2021-01-31,,309.9339825,271.9161354,347.7563439
2021-02-01,,326.1578114,288.9049281,363.2529696
2021-02-02,,348.6485586,328.7041802,393.1441578
2021-02-03,,372.736939,349.8916266,413.3218123
2021-02-04,,390.2310379,361.1015458,431.7420825
2021-02-05,,407.5521167,375.4106511,451.0604959
2021-02-06,,401.2407473,362.6576276,433.7112996
2021-02-07,,377.4744447,343.3948841,414.8826416
2021-02-08,,392.4624606,352.0716909,421.7996191
2021-02-09,,430.3250793,388.0453493,462.2164953
2021-02-10,,452.1891112,423.165495,498.9547772
2021-02-11,,482.6862296,438.2397889,527.2963945
2021-02-12,,497.5999739,460.4796588,553.5536016
2021-02-13,,489.4073221,446.9663389,530.1947373
2021-02-14,,447.9346679,412.3496841,498.1020679
2021-02-15,,458.2947095,413.4369446,487.9411538
2021-02-16,,482.1802804,439.1114303,513.1899845
2021-02-17,,502.7230166,458.1088624,544.0146066
2021-02-18,,510.4832406,466.5927566,560.1399057
2021-02-19,,505.9324995,461.3679958,559.4103248
2021-02-20,,476.308464,438.6231094,535.5120486
2021-02-21,,433.4269365,396.3235557,496.4689595
2021-02-22,,416.893032,369.6884032,475.375158
2021-02-23,,426.8107914,363.6755093,491.8670414
2021-02-24,,434.4009275,369.5568567,497.9884605
2021-02-25,,434.0221515,372.0498943,491.7251733
2021-02-26,,428.6799505,365.5270077,479.0185473
2021-02-27,,409.8392283,339.5057142,462.2454264
2021-02-28,,367.50729,307.9238544,432.0546199
2021-03-01,,341.0958169,272.5528048,405.430352
2021-03-02,,344.4117686,271.8006262,402.5820161
2021-03-03,,348.1094154,281.34176,417.5456715
2021-03-04,,351.3266398,280.3687126,415.4085536
2021-03-05,,337.4682745,280.7205168,401.2521002
2021-03-06,,319.1343092,259.2202391,384.2405245
2021-03-07,,285.1953452,227.6235379,358.5370734
2021-03-08,,277.2259271,211.8071294,348.8763685
2021-03-09,,279.353852,211.9066436,345.6419118
2021-03-10,,287.2511304,214.6698248,359.1312116
2021-03-11,,285.7377758,213.5356152,363.3445647
2021-03-12,,280.325606,210.0977782,360.4738272
2021-03-13,,265.8025078,206.7440247,359.1106119
2021-03-14,,251.1043599,192.0574271,326.4113973
2021-03-15,,237.111474,169.7722921,312.9559393