date,real,lock_soft_Feb_1,min_lock_soft_Feb_1,max_lock_soft_Feb_1
2021-01-05,190.1518317,,,
2021-01-06,185.9436012,,,
2021-01-07,175.4213783,,,
2021-01-08,153.6571787,,,
2021-01-09,149.1883214,,,
2021-01-10,204.9522046,,,
2021-01-11,221.2347098,,,
2021-01-12,208.6372364,,,
2021-01-13,214.0683069,,,
2021-01-14,228.6369759,,,260.3516819
2021-01-15,203.4095193,220.4889771,,248.4999926
2021-01-16,187.5535872,209.9404178,,246.9326865
2021-01-17,239.9821083,211.4268524,,273.5808935
2021-01-18,270.6953796,254.2024797,214.49366,292.6776063
2021-01-19,261.1153594,270.6801948,231.1088907,291.0652148
2021-01-20,254.09365,279.9060957,233.4100122,297.8074809
2021-01-21,245.3751938,273.8337091,227.1700011,306.8360142
2021-01-22,235.8873498,264.8016788,226.3471426,294.2237739
2021-01-23,207.4844076,255.7487196,227.3769832,283.5489044
2021-01-24,,259.9888847,235.8731163,290.8956206
2021-01-25,,291.5574215,259.5248801,313.537686
2021-01-26,,309.0162423,273.2447395,346.3447131
2021-01-27,,325.238708,292.3607944,360.0367481
2021-01-28,,337.8574877,299.9833723,368.4318046
2021-01-29,,330.067788,293.9289586,362.4117261
2021-01-30,,306.656324,276.8254658,343.1261317
2021-01-31,,316.9651885,284.3395724,349.6102157
2021-02-01,,354.2196942,310.0260627,370.3779873
2021-02-02,,373.2725816,329.5255416,393.7913881
2021-02-03,,388.5902999,352.6697222,425.6113077
2021-02-04,,403.0401766,365.8338405,449.772402
2021-02-05,,391.3885173,360.6892333,443.2162022
2021-02-06,,374.9309985,334.8391819,415.5096303
2021-02-07,,368.560883,327.4588956,399.5705672
2021-02-08,,394.2247418,349.9890385,420.9896167
2021-02-09,,405.0724697,367.8044968,446.6795435
2021-02-10,,416.692796,375.36015,461.1778619
2021-02-11,,414.4858638,375.5823412,459.878535
2021-02-12,,393.3449894,360.7336612,438.4869457
2021-02-13,,354.4388527,314.8403587,397.2563928
2021-02-14,,330.6089458,292.9218082,373.8974399
2021-02-15,,336.1279245,294.2131874,382.5941983
2021-02-16,,345.7849115,301.3038913,395.5538846
2021-02-17,,346.2765958,298.1268266,399.5247479
2021-02-18,,336.5796947,285.5942121,391.1698093
2021-02-19,,320.7938858,274.9285377,382.2591963
2021-02-20,,303.7167646,254.0688568,354.9775036
2021-02-21,,276.5341122,232.1222097,320.1887658
2021-02-22,,267.122471,215.2935929,322.8630304
2021-02-23,,272.1739951,223.8231853,333.851522
2021-02-24,,277.5351643,219.0969531,334.1787727
2021-02-25,,272.122341,213.3924048,330.0488106
2021-02-26,,256.0175133,205.3938632,319.5343902
2021-02-27,,233.6244149,187.1077914,296.8346412
2021-02-28,,210.2904058,170.3964014,273.3166152
2021-03-01,,211.974154,162.5721202,262.5176267
2021-03-02,,214.6852491,160.8562169,276.129426
2021-03-03,,219.1300771,162.4239312,280.940417
2021-03-04,,217.1863798,162.2867031,283.3949318
2021-03-05,,213.6830375,159.5639081,279.5790178
2021-03-06,,203.8167653,147.1286215,255.4821281
2021-03-07,,182.5034592,131.9809724,238.6502121
2021-03-08,,182.1726825,126.4198105,235.2846316
2021-03-09,,197.8666879,132.7116317,243.9567062
2021-03-10,,207.8261189,141.9988481,271.7359921
2021-03-11,,218.9544177,150.2919245,287.1674302
2021-03-12,,227.4611249,156.9336318,309.3796982
2021-03-13,,230.8324602,160.7467542,311.8706481
2021-03-14,,223.5263668,159.4741415,303.164133